PolicyholderNumber,FirstPartyVehicleNumber,PolicyholderOccupation,FirstPolicySubscriptionDate,FirstPartyVehicleType,PolicyholderPostCode,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,PolicyHolderAge,FirstPartyLiability,ReferenceId,ThirdPartyVehicleNumber,InsurerNotes,LossDate,ClaimCause,ClaimInvolvedCovers,DamageImportance,ConnectionBetweenParties,LossPostCode,EasinessToStage,ClaimWithoutIdentifiedThirdParty,ClaimAmount,LossHour,NumberOfBodilyInjuries,Fraud
PH005875,V99074,Doctor,2015-05-14,Motorcycle,48261,1,1,29,50,0.7480199081509126,REF005875,V53741,Partial damage,2020-09-20,Vandalism,Collision,4,No,14292,0.4160198625650996,0,32800.24407628192,15,1,0.0
PH006473,V65514,Teacher,2015-04-24,Car,80156,1,3,148,25,0.7496648904973622,REF006473,V73871,Partial damage,2019-05-18,Fire,Medical,8,No,35978,0.44604395532118535,0,31252.260333562223,18,0,0.0
PH005463,V21239,Lawyer,2011-01-24,Motorcycle,67260,1,1,14,48,0.6178012978904501,REF005463,V46553,Theft reported,2019-04-06,Natural Disaster,Liability,7,Yes,72095,0.7444314632856658,0,35046.9984805204,22,0,0.0
PH004654,V92616,Other,2011-10-12,Van,29996,0,1,149,65,0.5300615845091791,REF004654,V26683,Theft reported,2019-10-15,Vandalism,Collision,3,No,43637,0.1719976763628993,0,20990.80940787278,9,0,0.0
PH003005,V86943,Other,2012-04-03,Truck,52588,0,1,4,50,0.2194885703644822,REF003005,V70525,Total loss,2019-05-17,Fire,Comprehensive,1,No,45777,0.9425749696368226,0,25212.855411915203,13,0,0.0
PH009902,V65542,Engineer,2017-05-20,Truck,22135,1,3,200,74,0.44416753918805074,REF009902,V72391,Theft reported,2020-04-23,Natural Disaster,Collision,6,No,41773,0.38354841954145913,0,21474.420762352303,5,0,0.0
PH003499,V85750,Engineer,2015-09-11,Car,28808,0,1,215,62,0.6230776938407417,REF003499,V98396,Theft reported,2020-08-17,Theft,Comprehensive,6,No,43755,0.5976424939354947,0,37361.02813135778,9,2,0.0
PH005079,V80390,Business,2010-05-14,SUV,97916,1,1,29,21,0.37361085605359556,REF005079,V24136,Minor damage,2020-10-06,Theft,Liability,2,Yes,26309,0.14487432850116178,0,35970.312538670776,22,0,0.0
PH008381,V14298,Engineer,2014-11-23,Van,23518,0,4,70,40,0.5358402581857253,REF008381,V36535,Theft reported,2020-03-16,Fire,Collision,3,No,34119,0.44381393333035224,0,9504.938754753588,13,0,0.0
PH007249,V62978,Business,2013-08-02,Truck,43993,0,1,84,52,0.3456780493610395,REF007249,V49363,Total loss,2019-03-14,Theft,Collision,1,No,76718,0.7807431957991191,0,18271.106394598264,18,0,0.0
PH000029,V46463,Teacher,2012-02-29,SUV,42229,1,1,196,31,0.6049890157543845,REF000029,V99441,Partial damage,2019-03-03,Theft,Comprehensive,2,No,71825,0.2407208919474888,0,11221.159164069206,11,0,1.0
PH001744,V75715,Teacher,2010-10-02,Truck,53674,0,1,169,34,0.2174353483868222,REF001744,V24505,Theft reported,2019-01-28,Theft,Medical,3,No,64310,0.6774142432005218,0,20987.049532850077,3,1,0.0
PH001352,V64379,Lawyer,2020-03-31,Car,75200,0,1,141,58,0.6005669001484414,REF001352,V92178,Total loss,2020-01-16,Vandalism,Medical,9,Yes,51158,0.10920820043550261,0,5714.381297287616,5,1,0.0
PH009191,V95729,Other,2013-03-14,Car,26721,1,3,184,64,0.46792364488156646,REF009191,V22598,Partial damage,2020-11-01,Natural Disaster,Comprehensive,1,No,68927,0.5885773930526261,0,42686.47309098552,21,0,0.0
PH007022,V73263,Engineer,2020-08-04,Motorcycle,32857,0,2,213,23,0.1716151493160038,REF007022,V45732,Total loss,2020-01-24,Natural Disaster,Medical,5,No,57163,0.17381685931974944,0,17536.080653217832,10,0,0.0
PH003253,V55652,Teacher,2019-06-13,SUV,98726,0,1,151,37,0.6201099294415077,REF003253,V44581,Total loss,2020-07-28,Natural Disaster,Liability,8,No,82500,0.8266535382286191,0,26923.305455570524,17,0,0.0
PH009485,V89908,Other,2016-07-06,Car,20480,1,3,120,23,0.4794133757070206,REF009485,V83067,Theft reported,2019-04-19,Accident,Medical,3,No,21735,0.6469665773635862,0,15289.172042101329,8,0,0.0
PH003099,V32227,Other,2011-08-06,Motorcycle,69593,0,3,13,58,0.17412796659600377,REF003099,V96439,Theft reported,2019-02-25,Accident,Comprehensive,1,No,75966,0.26674472925058046,0,4373.431855124525,12,1,0.0
PH009206,V36197,Lawyer,2015-04-26,Truck,54467,0,1,121,51,0.6170748378382822,REF009206,V48489,Total loss,2019-03-10,Vandalism,Medical,6,No,38886,0.8164301191227031,0,28941.224147658002,7,0,0.0
PH005896,V92799,Teacher,2015-10-02,Van,61496,0,1,230,39,0.5947209931821213,REF005896,V96776,Minor damage,2020-01-14,Vandalism,Medical,8,No,43041,0.9117723261188525,0,1578.5042378428807,5,0,0.0
PH007906,V15250,Business,2020-10-07,Car,55765,1,1,56,19,0.6039158604158886,REF007906,V37889,Partial damage,2019-05-26,Fire,Collision,5,No,12604,0.32737204062476843,1,25595.706678052673,15,0,0.0
PH000690,V94246,Business,2015-10-06,Motorcycle,83236,1,1,193,69,0.579629928832241,REF000690,V98785,Theft reported,2020-11-26,Natural Disaster,Medical,7,No,72787,0.20505558868604712,0,27918.000653595554,20,0,0.0
PH001030,V14809,Teacher,2019-01-23,Truck,78500,1,1,76,54,0.4902058755804406,REF001030,V22697,Minor damage,2019-05-07,Theft,Liability,3,No,14920,0.8664470128059502,0,30385.629586137075,21,0,0.0
PH000059,V19116,Lawyer,2012-08-04,Car,82582,0,2,211,29,0.3631466303014138,REF000059,V52336,Partial damage,2019-02-20,Theft,Liability,2,Yes,83575,0.45483596816888816,1,13823.817056966229,7,0,1.0
PH001984,V92346,Doctor,2010-03-30,Van,64969,0,1,104,39,0.8283828415371101,REF001984,V48252,Partial damage,2020-03-21,Theft,Collision,5,No,95679,0.8483967676822194,0,1916.4315582143554,9,1,0.0
PH004286,V64997,Lawyer,2018-11-12,Truck,53316,0,2,197,21,0.6535532377743964,REF004286,V90671,Minor damage,2020-10-22,Accident,Liability,7,Yes,32350,0.728952625501344,1,16497.58593856745,5,0,0.0
PH003474,V77582,Business,2014-08-05,Van,18151,0,1,115,71,0.4771956460123218,REF003474,V17017,Minor damage,2019-01-02,Natural Disaster,Comprehensive,6,No,24038,0.8518603129940494,0,11143.969755426757,17,0,0.0
PH004128,V95323,Other,2015-06-24,Truck,31178,0,1,121,71,0.36361346267859895,REF004128,V84108,Minor damage,2020-08-18,Vandalism,Comprehensive,2,No,80089,0.1490788721064179,0,9030.503513841857,13,1,0.0
PH005672,V89477,Lawyer,2011-01-06,SUV,21973,1,1,228,54,0.2686298647272375,REF005672,V30431,Theft reported,2019-03-25,Vandalism,Comprehensive,8,No,64493,0.3944345593116405,0,27231.254452051046,4,2,0.0
PH007636,V21123,Engineer,2015-07-18,SUV,92961,1,2,68,79,0.89047712776226,REF007636,V73876,Theft reported,2020-04-06,Fire,Comprehensive,4,No,70796,0.5011218423023249,0,16216.94775852402,19,0,0.0
PH007030,V52904,Other,2019-03-02,Car,46219,1,3,101,67,0.34486933012978427,REF007030,V73991,Total loss,2020-04-10,Natural Disaster,Comprehensive,1,No,40115,0.5090212228930334,0,37299.15760800546,20,0,0.0
PH002495,V79604,Doctor,2020-11-02,SUV,65171,1,1,151,21,0.18108649530799054,REF002495,V83505,Theft reported,2019-09-01,Theft,Collision,8,No,94987,0.015682769679055575,0,45755.22954818007,11,2,0.0
PH002139,V30644,Engineer,2020-02-21,SUV,25622,1,2,136,32,0.6533929494160634,REF002139,V60429,Partial damage,2020-11-12,Vandalism,Medical,4,No,67263,0.27760536292618254,0,11894.312690295657,9,1,0.0
PH002457,V74094,Other,2017-07-15,Motorcycle,95148,0,3,163,31,0.5725765476886613,REF002457,V19323,Partial damage,2019-10-21,Accident,Liability,8,No,87651,0.30005303440994835,1,48584.42563414851,18,1,0.0
PH002012,V62196,Other,2012-09-09,Motorcycle,54086,0,1,177,28,0.25727086242113695,REF002012,V17505,Partial damage,2019-01-15,Vandalism,Comprehensive,1,No,92713,0.6464924566819653,0,18922.832799172662,18,0,0.0
PH006714,V78242,Doctor,2012-11-09,Van,67158,0,1,168,65,0.21860273626672724,REF006714,V39355,Total loss,2019-06-03,Accident,Collision,5,No,36948,0.688586577180186,0,24447.52991059561,12,0,0.0
PH003039,V39902,Business,2014-04-20,Car,17736,0,2,27,32,0.42911838445898776,REF003039,V23466,Partial damage,2019-06-22,Vandalism,Medical,6,No,34677,0.6939411689619257,0,42728.04213530271,16,0,0.0
PH001299,V83048,Doctor,2012-04-27,Truck,27021,0,1,70,35,0.2329348751948043,REF001299,V72052,Theft reported,2019-10-29,Fire,Collision,7,No,35303,0.17296900035771068,1,10007.865749399234,5,1,0.0
PH002048,V20494,Doctor,2010-03-31,Truck,57609,0,2,202,75,0.32067050875405334,REF002048,V22280,Minor damage,2020-02-01,Natural Disaster,Collision,7,No,33597,0.7474402533395904,0,34581.56857338194,16,0,0.0
PH000491,V24208,Other,2010-01-19,Motorcycle,98421,0,2,211,55,0.8043425859563722,REF000491,V56486,Minor damage,2019-03-18,Natural Disaster,Comprehensive,6,Yes,15600,0.5515827285656345,0,2488.5536574486373,14,0,0.0
PH003387,V46025,Other,2018-02-15,Car,98683,0,1,14,51,0.5331740239937378,REF003387,V28051,Minor damage,2019-01-21,Vandalism,Comprehensive,9,No,29448,0.8883590298369745,1,7038.000329190219,12,1,0.0
PH008733,V96613,Business,2011-07-29,Van,13466,0,2,161,26,0.4435022874421449,REF008733,V94603,Partial damage,2019-08-02,Fire,Comprehensive,3,No,93191,0.49594345522810257,0,6806.303074418021,12,0,0.0
PH001157,V98389,Doctor,2014-10-08,SUV,47708,0,2,191,47,0.5462456707352176,REF001157,V89583,Minor damage,2020-06-01,Theft,Medical,4,No,29908,0.004419147111726751,0,10689.815648743188,2,0,0.0
PH001338,V74569,Teacher,2010-08-25,Van,11316,0,1,106,39,0.7269895377969239,REF001338,V32049,Partial damage,2020-05-26,Accident,Comprehensive,8,No,70285,0.15873211174722002,0,42337.13369136177,1,1,0.0
PH007964,V54000,Lawyer,2014-11-28,Truck,51560,0,1,185,33,0.39306485823324067,REF007964,V11620,Theft reported,2019-10-10,Accident,Collision,1,No,70718,0.7670124427479252,0,25659.24078941073,2,0,0.0
PH009168,V16380,Business,2011-12-05,Van,42801,1,3,88,31,0.6264875574833791,REF009168,V90525,Partial damage,2019-03-14,Natural Disaster,Collision,5,No,36154,0.14317443696659937,0,43106.280022996674,5,0,0.0
PH006623,V36517,Doctor,2012-09-13,Motorcycle,36374,1,2,221,35,0.740878688040529,REF006623,V80550,Total loss,2020-05-11,Natural Disaster,Medical,7,No,20373,0.018794325639153286,0,17825.02997120596,18,0,0.0
PH006426,V88005,Doctor,2016-03-02,Motorcycle,26216,0,2,210,43,0.1123039689666177,REF006426,V55928,Minor damage,2019-08-12,Natural Disaster,Liability,4,No,54833,0.47857661208409974,0,9582.829973386984,1,0,0.0
PH001089,V60277,Teacher,2012-06-05,Van,69736,0,1,202,29,0.7385197447447478,REF001089,V10951,Partial damage,2019-11-10,Natural Disaster,Comprehensive,2,No,95377,0.871481602761807,0,36760.97635635333,0,2,0.0
PH002775,V65994,Business,2010-05-25,Van,46759,0,1,30,20,0.7788290980894884,REF002775,V87763,Theft reported,2020-07-01,Vandalism,Collision,9,No,20254,0.24029619044457384,1,21300.49686990402,3,0,0.0
PH005109,V59987,Teacher,2020-02-25,Motorcycle,36025,0,2,61,77,0.17857065419772233,REF005109,V96325,Theft reported,2020-08-07,Accident,Comprehensive,6,No,13213,0.41688584627735004,0,47814.282405609796,18,1,0.0
PH001455,V18609,Teacher,2019-10-06,Motorcycle,97488,0,1,108,79,0.26759635298763573,REF001455,V48456,Minor damage,2019-01-12,Accident,Collision,4,No,95683,0.9105445507370022,0,17932.503389371355,1,2,0.0
PH000080,V19358,Doctor,2017-02-14,Truck,61759,0,1,196,30,0.2970545059305295,REF000080,V35507,Theft reported,2020-02-05,Vandalism,Medical,7,No,48083,0.8064589874585185,0,32787.54958619144,15,0,1.0
PH000826,V74332,Teacher,2019-08-20,Van,42615,0,1,89,31,0.14333676470072795,REF000826,V36478,Minor damage,2019-06-30,Fire,Liability,1,No,21137,0.7311113957031202,0,11807.526404937269,23,0,0.0
PH006449,V27677,Teacher,2018-10-05,Motorcycle,71503,0,1,35,71,0.6400605080934407,REF006449,V92384,Theft reported,2020-05-24,Fire,Comprehensive,3,Yes,31538,0.891730711375708,0,32328.19837995058,10,0,0.0
PH002086,V57467,Other,2012-11-16,Car,13747,0,1,2,30,0.5505409758600798,REF002086,V94473,Partial damage,2019-11-24,Vandalism,Collision,8,No,19468,0.32333921178063263,0,8535.511342348109,0,0,0.0
PH006186,V48628,Doctor,2013-07-08,Truck,88593,1,1,219,75,0.2836133962490376,REF006186,V33804,Theft reported,2019-12-31,Accident,Liability,4,No,78120,0.46222664062734276,0,39779.83666706834,13,0,0.0
PH005575,V83080,Teacher,2019-09-07,Car,81700,0,2,62,44,0.3704686561219529,REF005575,V25857,Theft reported,2020-04-10,Theft,Medical,6,No,95327,0.4650200820399035,0,42281.53015408821,12,0,0.0
PH007590,V61292,Lawyer,2012-04-26,Van,84402,0,2,201,42,0.17947716113628776,REF007590,V70768,Minor damage,2019-09-23,Natural Disaster,Medical,2,No,27616,0.8638910686460313,1,49896.031645316594,4,0,0.0
PH006668,V72469,Lawyer,2016-07-03,Car,58545,0,2,23,73,0.34741187333612045,REF006668,V41939,Minor damage,2020-12-04,Natural Disaster,Medical,2,No,75674,0.014020563823218923,0,29624.646780424613,1,0,0.0
PH008234,V82596,Lawyer,2020-12-15,Car,47988,1,1,110,58,0.7568360851233357,REF008234,V86955,Total loss,2020-07-10,Vandalism,Liability,4,No,25768,0.602967633134913,0,2975.11412568874,0,0,0.0
PH007411,V44242,Business,2013-05-10,Car,32016,0,1,188,79,0.23180531403474172,REF007411,V14112,Partial damage,2019-01-04,Accident,Collision,6,No,94783,0.5699512189114566,0,42342.83308898428,3,0,0.0
PH000434,V15229,Lawyer,2017-10-17,Motorcycle,88890,0,1,135,46,0.3560146519775399,REF000434,V36254,Minor damage,2019-10-14,Theft,Liability,2,Yes,16580,0.9794448016700326,0,41648.2793361844,19,0,0.0
PH007339,V70940,Engineer,2019-07-23,Truck,56350,0,1,190,77,0.8985038398441741,REF007339,V15161,Partial damage,2019-08-07,Vandalism,Medical,2,No,46902,0.9685840421848894,0,28778.901324013976,9,1,0.0
PH002501,V64172,Business,2018-01-08,Truck,34982,1,1,139,36,0.7895097450433894,REF002501,V30736,Partial damage,2020-12-03,Fire,Liability,7,No,50976,0.5493300938892264,0,40528.3596092775,18,0,0.0
PH004635,V16368,Other,2016-01-18,Van,23680,1,2,91,24,0.22186093805947005,REF004635,V45146,Minor damage,2020-03-08,Vandalism,Liability,3,Yes,93545,0.2767832789196112,0,5899.006838973358,8,1,0.0
PH001755,V42472,Teacher,2016-12-08,SUV,66848,0,3,134,59,0.7310292132201319,REF001755,V36082,Theft reported,2019-11-25,Fire,Collision,5,No,87510,0.30929743052797953,0,26913.317515286966,20,0,0.0
PH001212,V97404,Business,2012-08-31,Motorcycle,91478,0,1,58,24,0.344593939823961,REF001212,V94161,Minor damage,2020-10-29,Theft,Medical,7,No,21102,0.5224451100908551,0,3525.804386009852,10,1,0.0
PH005602,V31068,Lawyer,2020-04-09,Motorcycle,15051,0,1,159,45,0.4561011762977948,REF005602,V96053,Theft reported,2020-05-09,Theft,Liability,9,Yes,61928,0.8775864577966552,0,35168.848596279015,17,0,0.0
PH005501,V33255,Doctor,2019-11-07,Car,19827,1,1,230,23,0.7460927000118249,REF005501,V93416,Partial damage,2020-02-05,Accident,Collision,5,No,79270,0.7013874596850979,0,35633.06240490748,4,0,0.0
PH004228,V55061,Engineer,2011-07-16,Van,78907,0,2,124,42,0.23164108791937077,REF004228,V87526,Total loss,2020-11-14,Natural Disaster,Comprehensive,1,No,89498,0.6292426911062574,0,31829.533960554094,2,1,0.0
PH005084,V37964,Engineer,2011-10-29,Car,13264,1,1,59,63,0.11744400500095482,REF005084,V62527,Partial damage,2020-01-13,Fire,Liability,5,No,13527,0.4688623834829888,0,24636.291953559503,20,0,0.0
PH008899,V31016,Doctor,2016-03-08,Truck,12198,0,1,36,76,0.7166870940955117,REF008899,V36044,Partial damage,2020-02-21,Vandalism,Collision,2,No,85961,0.24872210528155725,0,3389.5144882943655,21,0,0.0
PH004430,V43029,Business,2010-03-19,Motorcycle,86960,0,1,52,73,0.3457680932415224,REF004430,V68611,Partial damage,2019-11-07,Fire,Liability,9,No,75354,0.8641718701698006,0,47466.32753896986,4,0,0.0
PH001135,V75836,Lawyer,2010-10-01,Motorcycle,63603,0,1,89,45,0.4759407947997326,REF001135,V93633,Partial damage,2020-04-15,Fire,Liability,8,No,98113,0.8043200101075592,0,45357.74415766934,23,1,0.0
PH009043,V59930,Teacher,2017-03-13,Van,16470,0,1,84,60,0.21439417595344354,REF009043,V71463,Partial damage,2019-07-23,Fire,Comprehensive,1,No,41647,0.6739770749764035,0,3262.7919108016135,0,0,0.0
PH008866,V60422,Doctor,2018-09-19,Truck,11136,1,2,145,26,0.7113218982388133,REF008866,V80971,Minor damage,2019-01-23,Fire,Comprehensive,5,No,89401,0.37066504446273707,0,45539.73896550982,5,0,0.0
PH006297,V84714,Lawyer,2020-01-11,Truck,30688,0,1,96,38,0.8305297371222458,REF006297,V84984,Total loss,2020-11-23,Theft,Liability,2,No,91367,0.4317735644567311,0,28623.32170515931,16,3,0.0
PH005248,V48096,Other,2018-08-29,Truck,24744,0,1,224,54,0.34447235256616693,REF005248,V87352,Theft reported,2020-04-18,Fire,Collision,8,Yes,28626,0.7609679973614281,0,4563.115944551171,15,1,0.0
PH004739,V62530,Business,2011-12-05,Van,68081,0,2,201,36,0.17751530534669888,REF004739,V86607,Minor damage,2020-10-21,Fire,Liability,4,No,30134,0.7645061029996526,1,4122.465262232015,17,0,0.0
PH001985,V23587,Teacher,2015-04-23,Van,96465,0,1,174,18,0.3475331611795959,REF001985,V15123,Total loss,2020-11-30,Fire,Collision,9,No,84969,0.17168110325338415,1,41850.467090916245,3,0,0.0
PH000437,V99399,Business,2017-07-04,SUV,27945,1,2,71,30,0.4405083499395671,REF000437,V98487,Partial damage,2019-09-05,Natural Disaster,Collision,6,No,85007,0.48718417765210986,1,15778.869743413647,18,0,0.0
PH008822,V26027,Other,2019-09-22,Van,76329,1,1,77,30,0.20236847650869638,REF008822,V34485,Minor damage,2019-07-16,Fire,Medical,8,No,16150,0.4193927971750149,0,20619.129406529722,16,0,0.0
PH007386,V91830,Other,2010-06-24,Truck,24248,0,3,28,33,0.6929608308670612,REF007386,V43123,Minor damage,2019-11-10,Accident,Comprehensive,6,Yes,61055,0.5335933311683396,0,6326.965816528806,15,2,0.0
PH000152,V24621,Teacher,2019-12-29,Motorcycle,23763,0,1,197,35,0.11641873645509611,REF000152,V91789,Minor damage,2019-12-19,Theft,Comprehensive,8,Yes,47100,0.06565936557940677,0,37443.859682672926,2,0,0.0
PH007721,V25826,Teacher,2015-11-02,Motorcycle,18058,0,4,141,55,0.12267439932068963,REF007721,V61062,Minor damage,2020-10-07,Vandalism,Comprehensive,5,No,24885,0.43274136275504815,0,44524.49957747413,15,0,0.0
PH007482,V98065,Doctor,2017-05-20,Van,28274,0,1,185,40,0.4191362993853459,REF007482,V22019,Minor damage,2020-01-28,Theft,Comprehensive,4,No,30983,0.743489096474873,0,38934.334980623375,20,0,0.0
PH004226,V21233,Lawyer,2019-05-29,SUV,38715,0,2,41,48,0.4332109052575792,REF004226,V54146,Theft reported,2020-05-09,Fire,Liability,5,Yes,50239,0.4756910369352394,1,1552.6630325492713,7,0,0.0
PH006502,V47707,Other,2013-08-24,Car,13553,0,1,188,54,0.26423522485581713,REF006502,V23255,Partial damage,2020-03-09,Accident,Collision,3,No,27156,0.7135872484532457,0,16864.40574572691,13,0,0.0
PH006581,V49626,Teacher,2010-10-22,Car,29880,1,1,88,60,0.23607180107209136,REF006581,V62601,Total loss,2019-07-14,Fire,Collision,2,No,79463,0.40005122875201493,0,20116.92888095207,8,3,0.0
PH002304,V16377,Other,2010-11-13,Motorcycle,91483,0,3,184,23,0.5006108590170127,REF002304,V43823,Total loss,2020-05-19,Accident,Liability,1,No,62190,0.9269676544206896,0,46944.1738031817,18,0,0.0
PH006406,V11498,Lawyer,2012-12-15,Truck,84243,0,1,30,22,0.6323820617776296,REF006406,V50842,Partial damage,2020-02-04,Accident,Liability,8,No,72309,0.36539856800202386,0,33067.5428164363,11,1,0.0
PH008865,V82447,Other,2018-07-20,Car,83863,0,1,201,32,0.8499387392118253,REF008865,V82130,Minor damage,2020-03-23,Vandalism,Medical,3,No,28222,0.7331191227270659,1,37248.73079146246,21,0,0.0
PH005472,V88753,Business,2017-07-31,Car,80514,1,2,132,29,0.6794589343218044,REF005472,V75838,Theft reported,2020-07-18,Theft,Collision,6,No,52269,0.3923576622243805,0,34328.33805519483,3,2,0.0
PH008761,V94678,Other,2016-06-05,Van,66627,0,1,171,32,0.7226298018409495,REF008761,V77786,Total loss,2020-06-19,Accident,Liability,3,No,56661,0.9171097275327745,0,6543.748537193239,14,0,0.0
PH005869,V43779,Other,2016-11-05,Van,91830,0,1,228,43,0.749012607452885,REF005869,V44452,Partial damage,2019-10-03,Fire,Liability,1,No,15689,0.4350391241347423,0,27671.575500450246,7,2,0.0
PH003668,V20957,Teacher,2016-06-30,Truck,13770,0,1,28,75,0.2973255227563142,REF003668,V25004,Minor damage,2019-08-01,Fire,Medical,7,No,18969,0.23437698857222433,0,32512.480557800765,3,0,0.0
PH002268,V51827,Engineer,2010-06-04,SUV,37460,0,2,184,36,0.12664672870347735,REF002268,V57873,Total loss,2019-08-30,Natural Disaster,Medical,9,No,71417,0.3712956495043901,0,47032.43899343695,17,0,0.0
PH003144,V36326,Lawyer,2018-10-31,Car,85660,0,1,188,68,0.1993321453745578,REF003144,V94984,Theft reported,2019-08-16,Fire,Medical,5,No,53782,0.07390711701068575,0,18698.70703050926,9,0,0.0
PH000163,V91959,Other,2014-07-26,Car,68486,0,3,183,23,0.1661422865986868,REF000163,V98575,Theft reported,2020-01-17,Fire,Collision,8,No,23507,0.14273484586151486,0,6879.331010855683,8,0,0.0
PH002186,V17263,Doctor,2015-04-26,Motorcycle,75524,0,1,88,64,0.8819599889945479,REF002186,V72709,Partial damage,2019-04-29,Fire,Liability,3,No,79759,0.3416685709016162,0,16651.584132759206,6,0,0.0
PH001527,V24184,Doctor,2020-07-24,Car,80251,0,1,41,50,0.46202452445319275,REF001527,V26334,Total loss,2019-02-07,Theft,Comprehensive,1,No,52853,0.08492494017795293,0,28853.389539946336,20,0,0.0
PH007044,V15771,Engineer,2012-02-04,Car,83082,1,2,76,74,0.34366436219368257,REF007044,V25109,Minor damage,2019-11-12,Accident,Liability,5,No,40392,0.2527363404897124,0,19754.719241914678,22,0,0.0
PH003884,V77300,Lawyer,2016-03-28,Motorcycle,19559,0,3,136,19,0.6258100085825655,REF003884,V74871,Theft reported,2019-03-22,Accident,Collision,3,No,24470,0.905546994917152,0,1521.0197463531968,6,1,0.0
PH005750,V30446,Business,2014-08-13,Van,76828,0,1,32,25,0.8620374088661348,REF005750,V39830,Partial damage,2019-04-09,Natural Disaster,Comprehensive,2,No,60761,0.8096825663176672,0,39655.05744424117,20,1,0.0
PH002796,V28920,Lawyer,2013-01-21,Car,96395,1,2,235,37,0.6093692185928852,REF002796,V42145,Partial damage,2019-06-28,Fire,Collision,1,No,85840,0.8792236507619579,0,29430.25198255196,10,0,0.0
PH009923,V86697,Engineer,2012-05-11,Motorcycle,93030,0,1,103,61,0.41116752207221274,REF009923,V69291,Minor damage,2020-01-10,Natural Disaster,Comprehensive,6,No,98494,0.13397709851254536,0,35202.56551784481,20,0,0.0
PH009218,V90460,Teacher,2013-08-25,Truck,37569,0,2,28,61,0.40052264526090176,REF009218,V30344,Minor damage,2020-11-26,Natural Disaster,Liability,9,No,30994,0.08252286235564055,0,23071.620126163205,3,0,0.0
PH006156,V21980,Engineer,2018-02-11,SUV,83324,0,2,130,56,0.8660229179158807,REF006156,V46007,Theft reported,2019-08-10,Fire,Collision,9,No,53474,0.4810422625044476,0,21312.186542623407,9,0,0.0
PH009325,V27709,Other,2014-04-03,Car,74147,0,1,137,68,0.7883282883527686,REF009325,V69826,Total loss,2019-08-04,Theft,Liability,8,No,22444,0.3969956223714355,0,9734.313534312041,5,0,0.0
PH003020,V20279,Lawyer,2013-08-22,SUV,97989,1,2,105,75,0.22620124581929746,REF003020,V49452,Minor damage,2020-05-05,Theft,Liability,9,No,73765,0.017383231823329903,0,32459.918485329905,16,0,0.0
PH003743,V11610,Doctor,2017-03-07,Car,14720,0,3,22,47,0.7367606954186863,REF003743,V40221,Theft reported,2019-11-24,Theft,Comprehensive,6,No,13722,0.7577533388486737,0,13132.630223671511,20,1,0.0
PH006135,V92956,Business,2017-11-12,SUV,87969,0,1,235,69,0.3428432943272438,REF006135,V69893,Minor damage,2020-06-26,Vandalism,Medical,1,Yes,19450,0.2505006042831903,1,22486.29637264818,0,1,0.0
PH000576,V72277,Teacher,2018-02-08,Motorcycle,37492,1,1,162,77,0.7839457738982722,REF000576,V50673,Minor damage,2020-07-02,Accident,Liability,1,No,62988,0.5409695197394427,0,34147.92130693846,11,0,0.0
PH009704,V88852,Teacher,2014-05-24,Truck,48677,0,2,48,47,0.6225013994817272,REF009704,V68598,Total loss,2019-09-09,Natural Disaster,Medical,2,No,21811,0.30463179040663013,0,26089.053962150003,9,1,0.0
PH000781,V95256,Other,2015-02-07,SUV,52257,1,2,195,54,0.3231222554419587,REF000781,V80278,Theft reported,2020-08-17,Theft,Comprehensive,5,No,14241,0.9748031405394573,0,20350.207592522544,6,0,0.0
PH008443,V39825,Teacher,2019-01-20,SUV,58978,0,1,36,77,0.6578098291419853,REF008443,V35245,Partial damage,2019-04-21,Fire,Collision,2,No,71693,0.5763280752174189,0,13123.732640213746,12,0,0.0
PH002803,V79467,Other,2010-10-19,Car,19707,1,1,57,25,0.607722266427339,REF002803,V28844,Theft reported,2020-09-04,Theft,Liability,9,No,16311,0.11804159711724116,0,4328.172687725115,20,1,0.0
PH007299,V94180,Engineer,2018-07-07,Car,95534,0,1,69,68,0.7014285903996561,REF007299,V21789,Theft reported,2019-11-20,Accident,Comprehensive,1,No,83655,0.483999063559729,1,35250.621390992026,19,0,0.0
PH000444,V91351,Lawyer,2018-09-03,SUV,63168,0,2,227,68,0.43757069296686824,REF000444,V89171,Theft reported,2019-10-10,Vandalism,Liability,6,No,60440,0.16829823614857808,0,21150.150395325007,14,0,0.0
PH003303,V57945,Other,2013-07-07,Motorcycle,84152,0,2,201,56,0.716088625681501,REF003303,V93859,Minor damage,2020-06-12,Fire,Liability,6,Yes,43310,0.46035740688809834,0,3263.3705122583565,21,0,0.0
PH006311,V23644,Business,2018-05-30,Car,75658,0,1,120,24,0.4757761989639063,REF006311,V67653,Total loss,2020-04-08,Accident,Comprehensive,7,No,77725,0.013703293290688645,0,14964.684685154027,15,0,0.0
PH004149,V90431,Lawyer,2012-06-07,SUV,94684,0,1,10,43,0.6980332893924361,REF004149,V41985,Theft reported,2020-05-24,Vandalism,Medical,5,No,86810,0.6533711766667831,0,1425.4225476188094,23,0,0.0
PH005397,V42975,Engineer,2020-12-08,Car,17053,0,2,103,29,0.1260804274595147,REF005397,V68246,Minor damage,2020-07-05,Accident,Comprehensive,7,No,29077,0.7179263403013316,0,24235.502484348173,2,0,0.0
